regione, stemma
Abruzzo,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Regione-Abruzzo-Stemma.svg/100px-Regione-Abruzzo-Stemma.svg.png
Basilicata,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Regione-Basilicata-Stemma.svg/100px-Regione-Basilicata-Stemma.svg.png
Calabria,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Coat_of_arms_of_Calabria.svg/100px-Coat_of_arms_of_Calabria.svg.png
Campania,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Regione-Campania-Stemma.svg/100px-Regione-Campania-Stemma.svg.png
Emilia-Romagna,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Stemma_Emilia-Romagna.png/100px-Stemma_Emilia-Romagna.png
Friuli Venezia Giulia,//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/CoA_of_Friuli-Venezia_Giulia.png/100px-CoA_of_Friuli-Venezia_Giulia.png
Lazio,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Lazio_Coat_of_Arms.svg/100px-Lazio_Coat_of_Arms.svg.png
Liguria,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Coat_of_arms_of_Liguria.svg/100px-Coat_of_arms_of_Liguria.svg.png
Lombardia,//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Regione-Lombardia-Stemma.svg/100px-Regione-Lombardia-Stemma.svg.png
Marche,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Coat_of_arms_of_Marche.svg/100px-Coat_of_arms_of_Marche.svg.png
Molise,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Regione-Molise-Stemma.svg/100px-Regione-Molise-Stemma.svg.png
Piemonte,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Regione-Piemonte-Stemma.svg/100px-Regione-Piemonte-Stemma.svg.png
Puglia,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Coat_of_Arms_of_Apulia.svg/100px-Coat_of_Arms_of_Apulia.svg.png
Sardegna,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Sardegna-Stemma.svg/100px-Sardegna-Stemma.svg.png
Sicilia,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Coat_of_arms_of_Sicily.svg/100px-Coat_of_arms_of_Sicily.svg.png
Toscana,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Coat_of_arms_of_Tuscany.svg/100px-Coat_of_arms_of_Tuscany.svg.png
P.A. Bolzano,//upload.wikimedia.org/wikipedia/it/thumb/1/14/Stemma_Trentino_-_S%C3%BCdtirol.svg/100px-Stemma_Trentino_-_S%C3%BCdtirol.svg.png
P.A. Trento,//upload.wikimedia.org/wikipedia/it/thumb/1/14/Stemma_Trentino_-_S%C3%BCdtirol.svg/100px-Stemma_Trentino_-_S%C3%BCdtirol.svg.png
Umbria,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Regione-Umbria-Stemma.svg/100px-Regione-Umbria-Stemma.svg.png
Valle d'Aosta,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Valle_d%27Aosta-Stemma.svg/100px-Valle_d%27Aosta-Stemma.svg.png
Veneto,//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Coat_of_Arms_of_Veneto.png/100px-Coat_of_Arms_of_Veneto.png